word,up,down,total,polar_score,polarity
서구/NNG,35,16,51,1.9827080398085066,Hawkish
금융소득종합과세/NNG,16,3,19,4.834031030390264,Hawkish
여의치/VA,45,29,74,1.406452993755788,Hawkish
자산관리자/NNG,15,7,22,1.9422446104246596,Hawkish
펀더멘털/NNG;불안/NNG,13,7,20,1.6832786623680382,Hawkish
충격파/NNG,21,8,29,2.379249647770208,Hawkish
금리/NNG;하락/NNG;축소/NNG,13,8,21,1.4728688295720334,Hawkish
fed/NNG;금리/NNG;인하/NNG;기대/NNG;크/VV,13,9,22,1.309216737397363,Hawkish
펀더멘털/NNG;저하/NNG,18,11,29,1.4831686115970129,Hawkish
공격/NNG,847,462,1309,1.6616981666966533,Hawkish
투표소/NNG,16,4,20,3.6255232727926976,Hawkish
물가/NNG;압력/NNG;높/VA,15,3,18,4.531904090990872,Hawkish
소비지/NNG,19,8,27,2.1526544432206642,Hawkish
불어넣/VV,30,18,48,1.5106346969969573,Hawkish
든다/VV,85,54,139,1.426710547163793,Hawkish
세세/NNG,635,363,998,1.5855422026331703,Hawkish
정부규제/NNG,20,13,33,1.3944320279971913,Hawkish
실업보험/NNG,188,69,257,2.469559330742852,Hawkish
플러스/NNG;성장/NNG,16,9,25,1.6113436767967546,Hawkish
수자/NNG,13,6,19,1.9638251060960445,Hawkish
감사원/NNG,17,11,28,1.4007703553971786,Hawkish
수요/NNG;물가/NNG;상승/NNG;압력/NNG,17,10,27,1.5408473909368965,Hawkish
우버/NNG,27,16,43,1.5295176307094194,Hawkish
긴축/NNG;가속/NNG,13,6,19,1.9638251060960445,Hawkish
발행시장/NNG;호조/NNG,13,8,21,1.4728688295720334,Hawkish
백스/NNG,24,6,30,3.6255232727926976,Hawkish
충력/NNG,12,7,19,1.5537956883397277,Hawkish
귀추/NNG,17,10,27,1.5408473909368965,Hawkish
침공/NNG,103,55,158,1.6974040777165813,Hawkish
하락/NNG;금리/NNG;인상/NNG,18,8,26,2.0393568409458926,Hawkish
트랜스/NNG,15,5,20,2.719142454594523,Hawkish
분배/NNG,63,38,101,1.5026839880653946,Hawkish
실망/NNG;금리/NNG;인하/NNG,26,1,27,23.565901273152534,Hawkish
두바이유/NNG,34,22,56,1.4007703553971786,Hawkish
상업/NNG,852,567,1419,1.361969060149638,Hawkish
